LINK,Pob
20010101,336
20010201,478
20010202,401
20010203,337
20010204,602
20010205,307
20010206,732
20010207,438
20010208,486
20010209,511
20010210,327
20010211,611
20010212,1225
20010213,476
20010214,688
20010215,757
20010216,1128
20010217,712
20010218,480
20010219,547
20010301,594
20010302,564
20010303,659
20010304,428
20010305,1283
20010306,1027
20010307,403
20010308,797
20010309,1092
20010310,745
20010311,745
20010312,561
20010313,381
20010314,471
20010315,843
20010316,726
20010317,571
20010318,783
20010319,1017
20010320,397
20010321,300
20010322,670
20010323,837
20010401,1472
20010402,1299
20010403,1189
20010404,1545
20010405,1069
20010406,1271
20010407,1393
20010408,1128
20010501,631
20010502,533
20010503,928
20010504,1200
20010505,637
20010506,888
20010507,597
20010601,948
20010602,641
20010603,1160
20010604,789
20010605,332
20010606,569
20010607,498
20010608,730
20010609,1046
20010610,415
20010701,669
20010702,770
20010703,261
20010704,560
20010705,403
20010706,300
20010707,592
20010708,597
20010709,330
20010710,384
20010711,213
20010712,507
20010713,1425
20010801,352
20010802,1324
20010803,1104
20010804,592
20010805,589
20010806,1144
20010807,1334
20010808,446
20010809,691
20010810,445
20010901,292
20010902,388
20010903,449
20010904,256
20010905,409
20010906,354
20010907,588
20010908,261
20010909,628
20010910,369
20010911,422
20010912,378
20010913,590
20010914,253
20010915,238
20010916,997
20010917,360
20010918,395
20010919,119
20011001,318
20011002,504
20011003,980
20011004,427
20011005,507
20011006,541
20011007,312
20011008,279
20011009,341
20011010,680
20011011,612
20011012,584
20011013,678
20011014,218
20011101,512
20011102,428
20011103,354
20011104,667
20011105,529
20011106,447
20011107,525
20011108,817
20011109,455
20011110,621
20011111,266
20011112,933
20011113,666
20011114,774
20011201,341
20011202,229
20011203,723
20011204,393
20011205,600
20011206,472
20011207,786
20011208,329
20011209,1356
20011210,296
20011211,528
20011212,499
20011301,586
20011302,128
20011303,45
20011304,725
20011305,295
20011306,192
20011307,505
20011308,308
20011309,426
20011310,614
20011311,292
20011312,292
20011313,358
20011314,1960
20011315,0
20011401,622
20011402,1096
20011403,383
20011404,70
20011405,484
20011406,698
20011407,476
20011408,411
20011409,521
20011410,431
20011411,522
20011412,511
20011501,697
20011502,662
20011503,418
20011504,759
20011505,464
20011506,804
20011507,577
20011508,818
20011509,872
20011510,625
20011511,554
20011601,538
20011602,326
20011603,945
20011604,573
20011605,477
20011606,559
20011607,1074
20011608,546
20011609,382
20011610,591
20011611,464
20011612,364
20011701,888
20011702,657
20011703,720
20011704,586
20011705,577
20011706,759
20011707,615
20011708,597
20011709,439
20011710,574
20011711,474
20011801,842
20011802,735
20011803,642
20011804,730
20011805,698
20011806,1180
20011807,734
20011808,674
20011809,650
20011901,892
20011902,1066
20011903,374
20011904,720
20011905,643
20011906,431
20011907,746
20011908,450
20011909,507
20012001,627
20012002,738
20012003,567
20012004,769
20012005,700
20012006,785
20012007,481
20012008,563
20012009,572
20012010,860
20012101,627
20012102,640
20012103,400
20012104,1160
20012105,724
20012106,602
20012107,785
20012108,553
20012109,709
20012110,816
20012201,567
20012202,810
20012203,817
20012204,446
20012205,447
20012206,578
20012207,562
20012208,533
20012209,880
20012210,1231
20012301,607
20012302,525
20012303,790
20012304,370
20012305,501
20012306,484
20012307,568
20012308,681
20012309,898
20012310,362
20012401,248
20012402,287
20012403,534
20012404,328
20012405,345
20012406,720
20012407,566
20012408,428
20012501,424
20012502,388
20012503,513
20012504,912
20012505,477
20012506,752
20012507,418
20012508,612
20012509,658
20012510,542
20012511,557
20012601,639
20012602,677
20012603,440
20012604,553
20012605,683
20012606,465
20012607,313
20012608,449
20012609,739
20012701,596
20012702,780
20012703,888
20012704,802
20012705,641
20012706,929
20012707,866
20012708,694
20012709,723
20012710,513
20012801,512
20012802,753
20012803,677
20012804,661
20012805,805
20012806,632
20012807,727
20012808,306
20012809,741
20012810,909
20012811,610
20012812,573
20012813,652
20012901,1123
20012902,624
20012903,817
20012904,723
20012905,804
20012906,990
20012907,916
20012908,648
20012909,923
20020101,105
20020102,518
20020201,587
20020202,878
20020203,572
20020204,540
20020205,600
20020206,472
20020207,301
20020208,697
20020301,895
20020302,745
20020303,266
20020304,369
20020305,714
20020306,678
20020307,885
20020308,606
20020401,823
20020402,233
20020403,365
20020404,499
20020405,702
20020406,539
20020407,617
20020408,997
20020409,812
20020410,884
20020501,710
20020502,887
20020503,661
20020504,544
20020505,777
20020506,811
20020507,828
20020508,700
20020509,616
20020601,432
20020602,1346
20020603,638
20020604,835
20020605,488
20020606,680
20020607,392
20020608,569
20020609,501
20020610,515
20020701,1419
20020702,1073
20020703,922
20020704,672
20020705,524
20020706,590
20020707,933
20020708,435
20020709,530
20020801,713
20020802,702
20020803,900
20020804,1105
20020805,907
20020806,1247
20020807,1495
20020808,848
20020901,765
20020902,681
20020903,865
20020904,1021
20020905,1028
20020906,900
20020907,949
20020908,1377
20020909,1150
20021001,975
20021002,637
20021003,441
20021004,785
20021005,812
20021006,695
20021007,868
20021008,856
20021009,611
20021101,1196
20021102,564
20021103,1643
20021104,1393
20021105,309
20021106,527
20021201,970
20021202,818
20021203,943
20021204,1250
20021205,1242
20021206,983
20021301,1196
20021302,890
20021303,973
20021304,1112
20021305,1371
20021306,1052
20021307,1211
20021401,760
20021402,575
20021403,355
20021404,743
20021405,1124
20021406,1031
20021407,648
20021408,695
20021409,1475
20021410,1006
20021501,601
20021502,798
20021503,1393
20021504,628
20021505,555
20021506,605
20021507,756
20021508,708
20021601,807
20021602,712
20021603,698
20021604,534
20021605,822
20021606,675
20021607,770
20021608,425
20021701,1217
20021702,838
20021703,931
20021704,339
20021705,532
20021706,986
20021707,1121
20021708,913
20021709,741
20021801,891
20021802,1188
20021803,787
20021804,1185
20021805,549
20021806,744
20021807,595
20021808,912
20021901,854
20021902,675
20021903,717
20021904,997
20021905,790
20021906,745
20021907,682
20021908,831
20022001,959
20022002,822
20022003,751
20022004,841
20022005,504
20022006,637
20022007,569
20022008,671
20022101,1058
20022102,959
20022103,775
20022104,1046
20022105,984
20022106,926
20022201,699
20022202,534
20022203,439
20022204,959
20022205,1093
20022206,1016
20022301,1079
20022302,1025
20022303,928
20022304,849
20022305,650
20022306,406
20022307,456
20022308,445
20022309,943
20022401,1012
20022402,787
20022403,795
20022404,1050
20022405,922
20022406,968
20022501,570
20022502,647
20022503,743
20022504,757
20022505,930
20022506,759
20022507,768
20022508,1222
20022509,775
20022510,605
20022511,1037
20030101,1026
20030102,903
20030103,960
20030104,490
20030105,909
20030106,715
20030107,847
20030108,491
20030109,530
20030110,438
20030111,462
20030201,742
20030202,714
20030203,676
20030204,734
20030205,872
20030206,927
20030207,1021
20030208,866
20030209,836
20030210,427
20030211,602
20030212,845
20030301,1101
20030302,860
20030303,614
20030304,516
20030305,579
20030306,823
20030307,802
20030308,726
20030309,285
20030310,950
20030311,869
20030401,736
20030402,499
20030403,681
20030404,772
20030405,683
20030406,655
20030407,674
20030408,724
20030501,802
20030502,648
20030503,970
20030504,542
20030505,610
20030506,441
20030507,768
20030601,716
20030602,351
20030603,617
20030604,610
20030605,866
20030606,522
20030607,683
20030701,310
20030702,864
20030703,967
20030704,914
20030705,579
20030706,584
20030707,922
20030708,395
20030709,931
20030801,647
20030802,552
20030803,839
20030804,538
20030805,496
20030806,478
20030807,427
20030808,524
20030809,718
20030810,547
20030901,860
20030902,486
20030903,762
20030904,1026
20030905,594
20030906,497
20030907,776
20030908,740
20030909,803
20030910,787
20031001,786
20031002,820
20031003,952
20031004,733
20031005,469
20031006,976
20031007,742
20031008,658
20031101,809
20031102,934
20031103,898
20031104,1213
20031105,704
20031106,916
20031107,843
20031108,584
20031201,679
20031202,904
20031203,578
20031204,491
20031205,971
20031206,269
20031207,928
20031208,546
20031209,478
20031210,845
20031301,744
20031302,771
20031303,817
20031304,516
20031305,633
20031306,735
20031307,622
20031308,498
20031309,723
20031310,693
20031311,896
20031401,880
20031402,948
20031403,1052
20031404,802
20031405,844
20031406,1114
20031407,633
20031408,720
20031409,103
20031410,898
20031501,683
20031502,909
20031503,666
20031504,788
20031505,755
20031506,805
20031507,1248
20031508,1281
20031509,275
20031601,891
20031602,1121
20031603,881
20031604,464
20031605,664
20031606,741
20031607,787
20031608,774
20031609,1153
20031701,738
20031702,822
20031703,452
20031704,905
20031705,811
20031706,726
20031707,880
20031708,1182
20031709,707
20031801,573
20031802,761
20031803,486
20031804,830
20031805,396
20031806,644
